symbol,rmse_original,rmse_scaled,spearman_corr,avg_confidence,avg_target,n_observations,n_unique_preds
AMED,0.00021714971452322038,0.0002210425894419482,0.34061522252353316,63.4324465107697,0.0001944544078642421,1350.0,448.0
AMGN,0.0002645165842413203,0.0002662390038350884,0.57827548305402,51.82197059770849,0.00046184408606333494,6122.0,1340.0
AMKR,0.0004424301558023085,0.00044897370600345863,0.6064483691859371,5.3891582655619725,0.0008201669128895309,4440.0,1234.0
AMP,0.0017214363049601062,0.001720867235417309,0.5099335221985788,24.81311787128253,0.000420039605467893,4876.0,1112.0
AMSC,0.001126837435001908,0.0011361591684427871,0.6395215078008081,0.7817542286528284,0.0020255850444044887,788.0,362.0
AMT,0.000504443303115829,0.0005022729988512326,0.5782059978956584,35.15984454293805,0.0004867921882495575,5873.0,1333.0
AMTM,0.001575033677687187,0.0015785934369148755,0.3040079314507423,0.9870352423788777,0.001616282626381118,359.0,167.0
AMWD,0.00038664187857915123,0.00041240634075199176,0.21946360389613417,2.176028617497148,0.0005969417426951464,377.0,165.0
AMZN,0.00018757144128737528,0.00018679636902234318,0.6541917063039374,55.104365668114426,0.0005220896993924398,6340.0,1404.0
AN,0.0024036713524599783,0.0023982048879526963,0.3490680071893448,4.303755984677897,0.0008981879452472999,231.0,108.0
ANDE,0.001389296702244832,0.0013947016523909298,0.3234779818665996,2.7751958997626054,0.0006586284570845247,323.0,151.0
ANET,0.0002820315669706717,0.00028385980524704983,0.6552347603655773,11.549089139372656,0.0006507018528466692,6010.0,1532.0
ANF,0.0005569211628049391,0.0005636858275567721,0.592318060642973,3.2280008895706866,0.000983394537073929,5624.0,1449.0
ANSS,0.0002636300184109301,0.0002654137946423777,0.45273161801581596,12.238729471348806,0.0004088251256110856,4871.0,1133.0
AON,0.0004516197890531303,0.00045047551618956325,0.4939779145713767,48.568379049854414,0.00035663466169013074,5197.0,1055.0
AOS,0.0005160317071402828,0.0005166519874815108,0.5074146938604683,16.96346139300401,0.000514166129354542,314.0,146.0
AOSL,0.001780812998380642,0.0017539891456789334,0.6276398131371156,0.7190672340512227,0.0020650199259192666,697.0,319.0
APA,0.0003162480911046282,0.0003214615107475845,0.5632348081997611,8.326188000593284,0.0007515701495599776,6285.0,1314.0
APD,0.0003365581857687931,0.00033594907460065843,0.4851916584294595,41.75022629301262,0.0003905381153321123,5468.0,1157.0
APH,0.0003335370614218508,0.00033268255335447037,0.6320134698084563,58.26149932274624,0.000509375710300133,6227.0,1401.0
APLD,0.001036382464817097,0.0010184825946518866,0.6337436633000861,0.6914113643746901,0.002599186645801387,6025.0,1339.0
APLS,0.0005584142219202268,0.0005680602950159001,0.5227010980996287,2.29798320288168,0.0012347369646514687,5479.0,1382.0
APO,0.0010294611066784735,0.0010257133779772165,0.6544598346751815,18.673908432961216,0.0006952905233274759,6087.0,1497.0
APP,0.00046379121661076157,0.00047635262967396237,0.759127801542033,4.183018327393161,0.0012043061154328315,6261.0,1768.0
APPF,0.00036161999846499984,0.0003716623155185738,0.4153372415892733,4.766476995711188,0.0005153786284366764,2858.0,892.0
APTV,0.0004728388401522878,0.00047316597029598765,0.6376495677393939,10.459510842933081,0.0007197327536600567,6112.0,1427.0
AR,0.0004115798095222284,0.0004121285237940617,0.5552627888896978,6.828342802178413,0.0007628193438293975,613.0,271.0
ARBE,0.003135788721762617,0.0029615466747680997,0.26568507422582527,0.04684302077736128,0.005851505847873098,195.0,64.0
ARCB,0.00027453048130623276,0.0003006153321678241,0.46022207685588074,3.1526179605600784,0.0005361757570258184,49.0,20.0
ARCC,0.0001366525463839035,0.00013766973007329738,0.47345105252997294,81.7291706152271,0.00024921272776893275,4881.0,843.0
ARCH,0.0020239046541567006,0.0020170648120879002,0.3576322092147255,2.8671273410320284,0.0009819303817566816,120.0,57.0
ARE,0.0003688083046245493,0.00036821684343138597,0.5074737746764924,14.011842018388407,0.0005170883095097835,3734.0,999.0
ARES,0.0014466120140942222,0.001443262813313792,0.5317277882411965,10.797940270815404,0.000599235834803328,4918.0,1211.0
ARGX,0.0006873197455411435,0.0006882628851343194,0.41868115238188536,6.874113936703523,0.0005544289504527058,3893.0,1114.0
ARKB,0.00046085643575393407,0.00045862546679922904,0.4947534174991999,4.8137137361812,0.0009948237962729605,1797.0,677.0
ARKK,0.00025727697205770676,0.0002599126830722205,0.7204977572128789,22.418269056397655,0.0006673411964550796,6241.0,1525.0
ARM,0.0003672701082091607,0.0003780825622453086,0.7208128585685836,5.613859915134399,0.0009541654102863209,6287.0,1615.0
ARRY,0.0007718572018377224,0.0007822202239719892,0.5995554075162111,0.8907157116854341,0.0021053835161759923,677.0,303.0
ARWR,0.0005266467107822569,0.0005399737008854611,0.5877147680621896,1.6570759136949478,0.0013601134737504178,647.0,294.0
AS,0.0014122523342913662,0.0014086557536766627,0.5743636465241305,2.9836541781445596,0.0011327244926017989,237.0,110.0
ASAN,0.0006984058717142988,0.0007042289378712103,0.6388777930423436,1.566319167243768,0.001757523573534338,483.0,226.0
ASHR,0.0005206862314757175,0.000522344280788747,0.7877083316114843,80.52514273100077,0.0003484871967824187,3538.0,1044.0
ASML,0.00043677848304914715,0.0004364993087071225,0.6744000374033283,27.242794019423414,0.0005990632904010662,6219.0,1555.0
ASND,0.0005142121235317402,0.0005274524276707708,0.46001224409203967,2.1909182050360014,0.0008211660964035579,1663.0,650.0
ASO,0.0003421590036548442,0.0003491594269174174,0.5831685579412452,5.839480542378585,0.000790815916111159,5694.0,1440.0
ASPI,0.001979878873039488,0.001925757399566104,0.4266067360456964,0.2690944409391488,0.00361100338488519,336.0,153.0
ASTS,0.001015885769428985,0.0010111267219915653,0.6766175588018901,1.1385786064478987,0.002153725152307543,6270.0,1480.0
ATAT,0.0003754841811477277,0.00039739912727023384,0.6258927397618109,4.874848161401937,0.0008370599674015606,556.0,263.0
ATI,0.0013833911431171957,0.001375671555021911,0.5429033010784907,4.217482202078985,0.001015138005249756,207.0,100.0
ATO,0.00025462534867624605,0.00026062393665969894,0.5340460447082732,55.86966319721439,0.00033271443623405757,347.0,152.0
AU,0.000561199336882031,0.0005591289795832341,0.5993749941981182,8.990955116007003,0.0007072055909181695,1742.0,656.0
AUR,0.0009454645753977917,0.0009435438539884298,0.5620134296134965,1.0348787458873348,0.0019456000486244805,4915.0,1302.0
AVAV,0.00045992350643506695,0.0004729641322752437,0.5820833908354351,2.9725885257199858,0.000855255165566875,4771.0,1404.0
AVB,0.001000839109871611,0.0009991036667537127,0.5204677010711275,27.51811708059929,0.0004393839804630443,2871.0,855.0
